Happy,Sad,Angry,Nervous,Jealous,Excited
blessed  ,bittersweet  ,aggravated  ,tense  ,covetous ,aflutter  
blest ,sad  ,intense  ,aroused  ,envious ,nervous 
favored  ,semisweet ,provoked ,wound up  ,jealous ,excited  
fortunate  ,tasty  ,angry  ,cliff-hanging  ,desirous  ,nervous  
golden  ,bittersweet nightshade ,provoked  ,suspenseful  ,wishful  ,tense  
glorious  ,climbing nightshade ,aggravated ,suspensive  ,avaricious ,anxious 
Blessed ,deadly nightshade ,angry  ,nail-biting  ,grabby ,queasy 
holy  ,poisonous nightshade ,angered  ,taut  ,grasping ,uneasy 
blasted ,woody nightshade ,enraged ,edgy  ,greedy ,unquiet 
blame ,Solanum dulcamara ,furious ,high-strung  ,prehensile ,troubled  
blamed ,nightshade ,infuriated ,highly strung  ,acquisitive  ,neural 
damn ,American bittersweet ,maddened ,in suspense  ,envious ,system  
damned ,climbing bittersweet ,angry  ,jittery  ,covetous ,aflutter 
darned ,false bittersweet ,enraged  ,jumpy  ,jealous ,excited  
deuced ,staff vine ,angered ,nervy  ,desirous  ,skittish 
goddam ,waxwork ,furious ,overstrung  ,wishful  ,flighty 
goddamn ,shrubby bittersweet ,infuriated ,restive  ,desirous  ,spooky 
goddamned ,Celastrus scandens ,maddened ,uptight  ,wishful ,excitable  
infernal ,vine ,angry  ,electric  ,appetent  ,agog  
cursed  ,depressing  ,furious  ,isotonic  ,athirst  ,excited  
curst  ,blue ,ferocious ,nervous  ,hungry  ,crazy  
beatified ,dark ,fierce ,strained  ,thirsty  ,brainsick 
saved  ,dingy ,savage ,unrelaxed  ,avid  ,demented 
happy  ,disconsolate ,violent  ,pumped-up  ,devouring  ,distracted 
blessed with ,dismal ,angered ,pumped up  ,esurient  ,disturbed 
endued with ,dispiriting ,enraged ,pumped  ,greedy  ,mad 
endowed  ,gloomy ,infuriated ,wired  ,covetous  ,sick 
blissful  ,grim ,maddened ,agitated  ,envious  ,unbalanced 
happy  ,sorry ,angry  ,uneasy  ,jealous  ,unhinged 
bright  ,drab ,angry ,constricted  ,wishful  ,insane  
agleam  ,drear ,raging ,tight  ,desirous ,half-baked 
gleaming  ,dreary ,tempestuous ,grammatical category ,appetent  ,screwball 
nitid  ,cheerless  ,wild ,syntactic category ,athirst  ,softheaded 
aglow  ,uncheerful  ,stormy  ,strain ,hungry  ,impractical  
lambent  ,depressive ,infuriated  ,tighten ,thirsty  ,dotty 
lucent  ,saddening ,angered ,change ,avid  ,gaga 
luminous  ,sad  ,enraged ,alter ,devouring  ,enamored 
aglitter  ,depressive  ,furious ,modify ,esurient  ,infatuated 
coruscant  ,depressing ,maddened ,tense up ,greedy  ,in love 
fulgid  ,gloomy ,angry  ,change state ,covetous  ,smitten 
glinting  ,saddening ,maddened  ,turn ,envious  ,soft on 
glistering  ,sad  ,angered ,affect ,jealous  ,taken with 
glittering  ,sick person ,enraged ,anxious ,aspirant ,loving  
glittery  ,diseased person ,furious ,dying ,aspiring ,excited  
scintillant  ,sufferer ,infuriated ,eager  ,ambitious  ,strange  
scintillating  ,gloomy  ,angry  ,nervous ,green-eyed ,unusual  
sparkly  ,grim ,black  ,queasy ,jealous ,wild 
beady  ,darkening ,dark  ,uneasy ,overjealous ,enthusiastic  
beadlike  ,hopeless  ,African-American  ,unquiet ,distrustful  ,loony 
buttony  ,blue ,Afro-American  ,troubled  ,overjealous ,looney 
buttonlike  ,dark ,colored  ,queasy ,jealous ,weirdo 
beaming  ,depressing ,coloured  ,nauseating ,green-eyed ,lunatic 
beamy  ,dingy ,dark-skinned  ,nauseous ,distrustful  ,madman 
effulgent  ,disconsolate ,non-white  ,noisome ,distrustful  ,maniac 
radiant  ,dismal ,negro  ,loathsome ,cynical  ,fevered  
refulgent  ,dispiriting ,negroid  ,offensive ,misanthropic  ,excited  
blazing  ,sorry ,angry  ,sickening ,misanthropical  ,intoxicated  
